0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EBCB6128>,najran,sa,17.54,60.8,23,0,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EB3CA470>,mazatlan,mx,23.22,71.6,83,90,2.57,1514652240
<citipy.citipy.City object at 0x000001F1EB56D630>,namatanai,pg,-3.66,78.39,100,92,3.76,1514655517
<citipy.citipy.City object at 0x000001F1EBEEF9E8>,kahului,us,20.89,63.9,93,40,5.59,1514652960
<citipy.citipy.City object at 0x000001F1EA704390>,clyde river,ca,70.47,-13.01,57,75,6.93,1514653200
<citipy.citipy.City object at 0x000001F1EBCB6E80>,victoria,sc,5.28,77.92,94,75,9.17,1514651400
<citipy.citipy.City object at 0x000001F1EA4E3748>,port hedland,au,-20.31,78.8,88,40,5.82,1514651400
<citipy.citipy.City object at 0x000001F1EBC305F8>,svetlaya,ru,46.54,28.71,100,88,4.03,1514655907
<citipy.citipy.City object at 0x000001F1EC24F630>,molteno,za,-31.4,63.13,48,12,5.88,1514655907
<citipy.citipy.City object at 0x000001F1EBB350F0>,leningradskiy,ru,69.38,-3.02,89,48,18.34,1514655735
<citipy.citipy.City object at 0x000001F1EB0159B0>,olafsvik,is,,,,,,
<citipy.citipy.City object at 0x000001F1EB56D278>,lorengau,pg,-2.02,79.56,100,76,13.49,1514655510
<citipy.citipy.City object at 0x000001F1EA4A7240>,necochea,ar,-38.55,66.96,74,56,12.3,1514655547
<citipy.citipy.City object at 0x000001F1EAC1D748>,tasiilaq,gl,65.61,17.6,44,12,9.17,1514652600
<citipy.citipy.City object at 0x000001F1EB301CF8>,antalaha,mg,-14.9,80.68,85,56,5.14,1514655438
<citipy.citipy.City object at 0x000001F1EA59A470>,beterou,bj,9.2,83.38,28,0,6.44,1514655528
<citipy.citipy.City object at 0x000001F1EBC3EDD8>,tiksi,ru,71.64,-18.64,27,8,5.44,1514655434
<citipy.citipy.City object at 0x000001F1EA4A7908>,puerto madryn,ar,-42.77,68.49,55,0,18.9,1514655910
<citipy.citipy.City object at 0x000001F1EB3C5240>,maneadero,mx,,,,,,
<citipy.citipy.City object at 0x000001F1EB56CBA8>,kieta,pg,-6.22,77.85,100,88,6.26,1514655567
<citipy.citipy.City object at 0x000001F1EB595CF8>,balabac,ph,7.99,79.38,100,76,14.65,1514655911
<citipy.citipy.City object at 0x000001F1EBD73358>,horasan,tr,40.04,34.65,96,92,5.93,1514655911
<citipy.citipy.City object at 0x000001F1EACFD198>,bissora,gw,12.22,89.6,25,0,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EBD04780>,bereda,so,43.27,59,72,40,23.04,1514655000
<citipy.citipy.City object at 0x000001F1EB504F60>,kaeo,nz,-35.1,52.33,84,24,2.57,1514655598
<citipy.citipy.City object at 0x000001F1EB36AE80>,cabo san lucas,mx,22.89,69.69,60,75,3.36,1514652420
<citipy.citipy.City object at 0x000001F1EA7A8AC8>,calama,cl,-22.46,75.2,17,0,24.16,1514653200
<citipy.citipy.City object at 0x000001F1EA4E16A0>,mount gambier,au,-37.83,48.55,90,0,2.64,1514655439
